p ,2092
Mi,2082
Ra,2081
kn,2075
fe,2060
 4,2038
ea,1994
	L,1989
r.,1987
cl,1966
8 ,1942
eo,1927
j.,1923
hn,1918
	J,1910
1.,1906
Sa,1904
Do,1901
MT,1899
9 ,1890
NE,1890
"r,",1884
GM,1880
""" ",1873
jt,1872
ls,1865
).,1853
 5,1844
rc,1842
Pa,1839
6 ,1833
rl,1831
kd,1829
ps,1823
ET,1818
hu,1815
Vs,1777
Oc,1769
7 ,1763
of,1755
Tu,1740
 Š,1729
uh,1705
ht,1698
fa,1692
ie,1692
0.,1671
 –,1666
a:,1664
ou,1663
kc,1657
– ,1652
 U,1639
k.,1607
Iz,1601
nf,1591
gn,1589
bs,1572
In,1557
ef,1557
Če,1550
oi,1516
dg,1512
"s,",1509
2.,1505
ch,1487
af,1481
dm,1473
žj,1472
ll,1445
A ,1444
ua,1444
Te,1440
Sp,1437
Bo,1428
th,1426
ms,1419
čr,1410
oo,1409
 6,1407
pt,1395
	U,1369
y ,1366
Lj,1364
d.,1364
jv,1360
vu,1357
Od,1338
Kr,1332
Tr,1314
ts,1311
Je,1307
Go,1295
bv,1275
La,1273
rh,1263
"),",1255
So,1253
lg,1242
	Č,1233
	A,1224
De,1208
; ,1207
uv,1206
ei,1198
:0,1194
 W,1182
3.,1178
Ni,1177
šp,1169
Vi,1159
.0,1155
4.,1151
Pe,1138
Dr,1136
au,1136
o:,1136
vc,1129
 8,1125
zj,1121
jk,1099
Br,1098
Si,1097
 7,1084
5.,1083
:1,1083
Ro,1082
vč,1073
Al,1057
Fr,1057
"č,",1051
	Š,1040
s.,1038
:3,1032
:5,1032
žu,1031
jm,1030
lm,1016
ž ,1014
» ,1011
.2,1010
:4,1010
:2,1006
rz,1000
Be,987
ck,986
rč,986
Va,983
Ba,982
Z ,981
 9,979
if,977
« ,973
eu,970
Gr,969
šu,966
dd,963
pk,962
čo,959
Ke,956
jd,956
sh,956
t-,952
9.,949
8.,948
Ce,943
ee,943
An,942
O ,942
Ti,941
 Č,932
ai,931
dz,930
6.,916
nz,912
uc,904
	B,903
rp,901
ss,901
vj,899
Li,898
e-,894
fu,891
nš,890
Ev,884
Sk,883
"0,",881
bd,876
"c,",871
Lo,870
	G,866
jp,866
sb,858
a),856
h:,850
č.,842
fr,840
7.,839
sc,833
1:,826
"d,",820
2:,806
gt,806
0:,803
žk,794
-L,790
	Ž,779
zh,779
hl,770
Ju,767
o-,766
Še,766
zs,762
ld,761
i:,753
Av,715
vš,713
3:,711
z.,703
a?,700
c.,696
mk,695
e),693
uz,693
vd,693
Ca,690
Sv,675
Vo,675
Kl,674
Pi,670
šj,665
Th,662
Zd,659
žo,655
D ,654
lž,654
Že,646
tt,639
Jo,633
 Ž,632
Št,632
"	""",630
Op,629
dt,622
Bi,617
9:,606
P ,604
nv,602
ae,599
"1,",596
"š,",595
Up,593
""",",591
-a,591
.o,590
Ga,590
6:,589
ay,587
jc,583
ue,582
EU,579
% ,577
	»,572
"3,",569
.1,568
g.,566
tm,566
7:,563
Am,562
oa,561
4:,560
"2,",557
Pl,557
ić,557
5:,554
I ,550
i),546
Ho,544
8:,543
Os,540
f ,539
x ,539
Sr,536
Su,535
e?,534
vg,532
R ,531
"a""",530
hv,528
(p,523
bm,522
p.,520
… ,519
C ,518
Gl,516
Fi,512
	E,511
K ,507
lč,507
jh,506
"g,",505
Vr,504
čb,503
Fo,500
Di,497
Ze,496
r:,495
-1,494
Ur,494
zt,492
 :,489
i?,486
o!,486
E ,482
.c,473
B ,468
o),460
DS,456
 ',455
-p,453
Lu,453
l:,452
ow,450
""".",449
Nj,449
Ha,447
Ku,443
Vl,443
a!,443
Mu,441
Ki,438
ao,435
mm,435
o?,434
Ri,432
l/,428
En,427
	F,420
(1,420
(n,420
ry,418
".""",417
RS,417
Fa,416
M ,416
Ch,415
Ar,414
Ru,414
dh,409
hč,406
Hr,405
e!,405
vm,402
	C,401
rr,401
lb,399
cm,398
/-,395
.s,393
i!,393
Bl,392
pc,392
' ,385
fl,384
oe,383
SD,380
 “,380
žl,379
ST,378
Ci,377
(s,376
